Question,Answer
School,"University of California, Berkeley"
Degree,Master of Global Policy Studies
Your title,Communications Officer
Dates of employment,2019-01-01 - 
Major / Field of study,International and Area Studies
Degree,B.A.
Description,"- Established Center from the ground up to support over 40 researchers with a budget of over $1 million - Expanded our online presence by collaborating with a design team (designers, engineers) to create a website - Created and maintained a Twitter account and editorial calendar - Wrote blog posts, reports, and white papers publicizing stories and outcomes of researchers’ projects  - Drafted grant proposals and edited graduate student dissertations"
School,The University of Texas at Austin - The LBJ School of Public Affairs
Company,"Center on the Politics of Development, UC Berkeley"
State / Province,CA
Company,The Robert S. Strauss Center for International Security and Law
Company,Self-Employed
Company,Make Fast Studio
State / Province,OK
Major / Field of study,Specialization: Gender and Development
Your title,Director of Content Design and Research
City,"Norman, Oklahoma, United States"
Description,"- Translated technical real estate terminology into clear, user-friendly language for auction real estate learning center website - Collaborated cross-functionally with marketing and product teams to design content solutions for the learning center landing, glossary, and FAQ pages"
Description,"- Work with agencies, startups, large design consultancies, non-profits, and in academia on content from SEO and website copy to social media campaigns, online publications, and new product launches. - Collaborations with IDEO, Xome Real Estate, Openbox, Purpose Project, Medable, Collectivo, GoodOnes, Maine Health, AERO, Stanford d.school, and many more"
Your title,Writer | Content Strategist
Your title,Writer | Strategist | Editor
Description,"- Developed voice + tone guide for all assets across platforms by collaborating with cross-functional design teams - Designed, wrote, and implemented marketing campaigns for new product launches and iterated on social emotional skills curriculum"
Dates of employment,2021-02-01 - 2021-07-01
Company,IDEO
Your title,Research Associate
Dates of employment,2014-04-01 - 2017-04-01
Dates of employment,2016-04-01 - 
Degree,Professional Sequence in Editing
City,"Alameda, California, United States"
School,University of Oklahoma
Your title,Content Strategist
Company,Xome
Dates attended,2001-01-01 - 2005-12-01
Company,U.S. Baha'i Office of Public Affairs
Description, - Contract with IDEO to provide copywriting and editing services for their clients
Dates attended,2010-01-01 - 2012-12-01
Description,"- Write and publish outward-facing editorial items including interviews, blog posts, election primers, newsletters, event materials, and all content for social media platforms - Produce the Governance Loop podcast including writing content for intros/outros, editing and publishing episodes, and publicizing new posts  - Create and maintain monthly editorial calendar for Twitter, LinkedIn, and Mastodon  - Run weekly editorial strategy meetings to brainstorm new content ideas, edit draft content for publication, and write interview guides - Wrote and maintain organization’s style guide to ensure brand conformity across all platforms  -Collaborate with over 100 researchers, practitioners, and funders to establish, run, and publicize coordinated, multi-country research projects with a budget of over $9 million"
Description,- Designed and created information architecture for website and wrote all copy - Interview and ghost write articles and case studies highlighting teaching initiatives and design thinking facilitation workshops
Please submit a resume or LinkedIn profile,127584768.pdf
Your title,Managing Director
Company,Openbox
First name,Jaclyn
Dates of employment,2016-05-01 - 
Description,"- Authored op-eds, press releases, social media posts, and long-form editorials about the persecution of religious minorities in Iran  - Established relationships with national media outlets and fielded queries from press - Created and maintained the organization’s website and social media accounts"
Your title,Content Designer
Your title,Writer | Editor 
Mobile phone number, +1 4058347488
Company,Purpose Project 
Dates of employment,2021-09-01 - 2022-06-01
Country,United States
Dates of employment,2012-10-01 - 2014-03-01
Dates of employment,2011-08-01 - 2012-05-01
Dates attended,2015-01-01 - 2016-12-01
Dates of employment,2022-04-01 - 2022-07-01
Description,"- Conducted qualitative field research in Ghana about the strategies employed to prepare for and respond to climate-generated disasters - Recruited, scheduled, and conducted user interviews - Analyzed and synthesized data - Wrote and produced a widely distributed case study"
Description,"- Developed all content for a website refresh that reimagined how the DC mayor’s office could help residents better prepare for an emergency  - Created, ran, and analyzed usability tests to determine best approach for website content  - Wrote, edited, and proofread slide decks for all client presentations  - Drafted example social media marketing campaigns targeting specific emergency preparedness actions to be taken throughout the year"
Company,Evidence in Governance and Politics
Last name,Leaver
Your title,Copywriter
Dates of employment,2016-12-01 - 
