Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Sleep Is Your Superpower,"Sleep is mandatory. You can’t outsource it and you can’t negotiate it—and it has a powerful impact on everything you do while you’re awake. So why not build habits to optimize your sleep and live your best life? Learn how to make sleep a priority and take steps to achieve sleep wellness. The Sleep Ambassador®, Nancy Rothstein, shares tips for optimizing sleep and performing at your best in work and life. Learn how to prioritize sleep, assess your sleep, create the right sleep environment, and adopt strategies to fall asleep and stay asleep. Nancy offers concrete, practical advice based on research and science—so you can master sleep as your superpower.",Course,2021-07-30 18:09 UTC,N/A,false,N/A,
Design Thinking: Understanding the Process,"Curious about design thinking? It's the design methodology on everyone's mind. While it's not magic, design thinking can help you save time and find more creative solutions to your customers' needs. Having a good understanding of the process will help you explain the benefits to management and clients and implement design thinking at your organization. In this course, Chris Nodder explains where design thinking fits into product development and what it can help you achieve. He describes each step in the process, from identifying the problem you want to solve and brainstorming solutions, to prototyping, development, and release. Learn about the pros and cons of this approach and how to overcome challenges such as organization inertia and silos. Done right, design thinking can start your organization moving toward broader user-centered design techniques such as information architecture, content testing, usability testing, and marketing research.",Course,2022-07-18 21:40 UTC,N/A,false,N/A,
A Career Strategist's Guide to Getting a Job,"Explore strategies designed to increase the chances of hearing back from potential employers, including how to get a resume past applicant tracking systems (ATS). Job search expert Jenny Foss walks through the elements of a successful job search, from crafting a great resume to finding the right job listings. She discusses how to create a career plan, how to prepare for an interview, and how to negotiate for the best salary and benefits. Plus, Jenny covers how to make your first 60 days on the job a success.",Course,2022-12-20 01:01 UTC,N/A,false,N/A,
Jodi Glickman on Pitching Yourself (2018),"Pitching is a universal skill. The time will come when you need to pitch an idea, a project, or even yourself. But you may stumble when the moment strikes—if you don't have a quick and effective process to nail the pitch. In this free course, thought leader Jodi Glickman shares her go-to approach for selling your ideas, your story, and yourself. Learn three easy steps to a successful pitch: destination, backstory, and connecting the dots.",Course,2020-04-05 21:57 UTC,N/A,false,N/A,
30-Minute Resume Refresh,"<p>Your resume should evolve as you do in your career. Learn how to quickly revamp the look and content of your resume to make it stand out to recruiters and hiring managers, and land your ideal career. Instructor Sho Dewan, the CEO of Workhap and a LinkedIn Top Voice for Job Search & Careers, shares advice from the perspective of a former recruiter.</p>
<p>Sho discusses the underlying purpose of a resume, as well as the importance of refreshing this critical document regularly—particularly when you’re applying to new roles. He then covers actionable steps you can take to give your resume a contemporary look, tailor it for each role you apply to, and craft a winning resume with a recruiter’s priorities in mind.</p>",Course,2025-04-04 03:43 UTC,N/A,false,N/A,
Is There A Book In You? Learn to Create Your Own Masterpiece,"Are you a passionate writer who’s always thought about writing a book, but didn’t know where to start? Maybe you have a kernel of an idea but don’t know how to expand on it. Or maybe you’ve had trouble finding your own voice. Or maybe you just don’t want to face rejection or criticism. This guide from genConnectU features lessons from renowned Irish author Sinead Moriarty, and guides you through the steps of unlocking the book you may have inside you. Sinead talks about her passion for writing and shares tools and tips on how to get started on your writing journey. She covers how to find your unique voice as an author, thread a storyline, and bring characters to life. She also covers the practical aspects like pursuing a publishing deal, dealing with setbacks, and managing the ups and downs of life as a writer. If you have a story to tell but haven’t been sure how to tell it, or just lack the confidence to start, join Sinead in this course.
 <br><br>
Note: This course was created by genConnectU. We are pleased to host this training in our library.",Course,2023-10-07 02:03 UTC,N/A,false,N/A,
UX for AI: Design Practices for AI Developers,"<p>AI developers are tasked with addressing a wide variety of complex challenges. They’re customer facing, too, which means their UX design interfaces need to be both ethical <em>and</em> effective. In this course, award-winning designer and engineer John Maeda shows you how to navigate UX design for AI applications using a thoughtful balance of design practices that leverage the power of AI models while also addressing user needs and expectations.</p><p>From designing for trust to testing and iterating, error handling, recovery, and ethics, John helps you get up to speed with new approaches to collaborative UX with tools and frameworks like the Microsoft Copilot stack, Semantic Kernel, and more. Learn how to define clear goals to guide UX design decisions and help prioritize features and functionalities. Along the way, get tips for maintaining transparency so users can interact with AI-powered apps that don't feel like a black box.</p>",Course,2025-06-10 15:16 UTC,N/A,false,N/A,
Learning Design Thinking,"Learn how to take a human-centered approach to design by exploring the methodology known as design thinking. In this course, Randall Elliott explains how design thinking is used to empathize, define, ideate, prototype, test, and refine. He covers what the purpose of each phase is and how to apply it to your planning and design processes. He also shares examples and practical uses of the underlying concepts. By the end of this course, you will be equipped with methods you can implement to uncover the needs of your customers, define findings, derive insights, and create innovative solutions.",Course,2021-08-01 20:00 UTC,N/A,false,N/A,
Understanding the Impact of Deepfake Videos,"Imagine not being able to trust what you see or hear when you watch a video online. Deepfakes are manipulated media—video or audio—where a person has been replaced with someone else's likeness and made to appear as if they said or did something that never happened. Deepfake videos use artificial intelligence and can appear very convincing, even to a trained eye. When used to mislead audiences, deepfake videos can be disastrous. However, they can have useful benefits too—like offering AI-assisted video reshoots. In this introductory course, senior staff instructor Ashley Kennedy offers a useful introduction to the dangers and benefits of deepfake videos. She also provides a high-level overview of deepfake technology and puts forward some tools to identify deepfake videos, as well as suggestions for what to do when you suspect or spot a deepfake video.",Course,2020-12-09 23:55 UTC,N/A,false,N/A,
Performance-Based Hiring,"Top performers aren't looking for just another job; they want challenges and growth. To get the best people, you need to attract them differently, which means your hiring process—your sourcing, interviewing, and recruiting—needs to change, and even how you write your job descriptions. In this course, Lou Adler, CEO and founder of the Adler Group, explains performance-based hiring, an end-to-end, four-step process for hiring top talent. Lou outlines the steps to help you expand your talent pool (sourcing), create job descriptions that deliver the highest quality applicants (screening), interview so you uncover what really leads to performance (interviewing), and make the best hiring decisions (recruiting).",Course,2023-08-02 17:48 UTC,N/A,false,N/A,
