Date,Link,Message
2026-04-06 21:12:29,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7446914614963077121,ENGINE
2026-04-06 18:32:55,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7442519291402334209,Anna Daiko Exactly!
2026-04-06 16:10:24,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7442519291402334209,Anna Daiko The most brutal! Black magic at it's finest. But also the most humbling. 😬 Trying to find a silver lining... but mostly just humiliating.
2026-04-06 15:50:27,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7442519291402334209,"I stopped scrolling for this one. A love of words + memes + Nick Miller?! Be still my heart. This is the trifecta of my life. Love all of these and hard to choose, but I'd say 3. The writing it down and rereading kills me every time.  😂"
2026-04-06 15:43:56,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7446893252970106880,"I heard someone recently describe this as a \"pitch slap\" and I think it's so accurate."
2026-04-06 15:41:45,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7446881938998743040,"Number 9 is the one. And I'd add: the guts usually follow the clarity and contrast. When you've done the hard work of deciding what you are and what you aren't, what you prioritize and what you don't, what makes you different and what clearly doesn't, the bold statement doesn't feel that risky anymore. It's just the honest thing to say. Most brands are playing it safe because they haven't made the upstream decisions that would make the gutsy thing obvious."
2026-04-06 15:33:03,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7445452030174978048,"Totally agree! It is definitely a thinking problem, and it shows up long before anyone writes a word. The brief sounds like every other brief. The angle is the obvious angle. The examples are the same three brands everyone cites. Curious people break that loop because they're pulling from somewhere the algorithm hasn't already indexed."
2026-04-06 15:17:18,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7443027388986253312,Kyle Magin 💯
2026-04-06 15:16:02,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7445787628924289024,Nathan Ojaokomo That's a great way to approach it if you're given an incomplete brief. Coming with suggestions to bridge the gap shows you've taken the time to put in the research and care about the project.
2026-04-04 18:23:27,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7445455086358745088,Lacey Brummer Good point! Doing this does usually surface related topics that you can use for future content. What's one of your favorite or most wild examples of this?
